trial_number,value,state,duration,lr,batch_size,latent_dim,poly_order,lambda1_metaweight
740,2.0874427980687247,PRUNED,0:00:00.486631,8.186587436015142e-05,9,3,2,0.9556379706722261
741,2.0316402469911883,PRUNED,0:00:00.528318,0.00014206178715086748,8,3,2,0.60578624291649
742,2.1419776493394878,PRUNED,0:00:00.228272,0.00014384796405784357,21,2,2,1.2091143017921335
743,2.047186513157452,PRUNED,0:00:00.223418,5.3433084295335694e-05,22,2,2,0.7398418548837381
744,2.0815387557853353,PRUNED,0:00:00.310463,4.696709975669163e-05,17,2,2,0.9820174376941847
745,2.1038852100786953,PRUNED,0:00:00.107958,6.957575634253127e-05,67,2,2,0.9879311943628186
746,2.0778189833446215,PRUNED,0:00:00.360322,0.0001012055186244636,16,2,2,0.9139639847830214
747,2.0290872471354833,PRUNED,0:00:00.337571,0.00011315577125393147,14,1,2,0.5620953361919095
748,2.031977485727381,PRUNED,0:00:00.184868,8.122765703380537e-05,28,1,2,0.5713431907833301
749,2.0284458292382106,PRUNED,0:00:00.200765,7.663559418614697e-05,27,2,2,0.5843873585775248
750,3.86497137464326,PRUNED,0:00:00.222877,0.0005415420559382649,53,4,3,0.5235734894899798
751,2.000868093967438,PRUNED,0:00:00.389832,6.281563599137865e-05,25,2,2,0.5196969968029012
752,2.08687169276751,PRUNED,0:00:00.257207,4.4991550286978985e-05,59,4,2,0.8616900056842081
753,2.048226937651634,PRUNED,0:00:00.080520,3.664276911506255e-05,191,2,2,0.6141828826932211
754,2.4453519847657947,PRUNED,0:00:00.098824,0.0003008820115015388,87,2,2,0.6453771401740958
755,2.0708370076285467,PRUNED,0:00:00.073558,6.158819059340413e-05,171,2,2,0.6470716835253241
756,1.996075819886249,PRUNED,0:00:00.639318,6.078341425198649e-05,13,2,2,0.5431143513180704
757,1.994878379567977,PRUNED,0:00:00.709389,6.152118299958425e-05,12,2,2,0.5491367351708638
758,2.0068644619433678,PRUNED,0:00:00.619312,2.6917069518300062e-05,14,2,2,0.5475779002157861
759,10.84254468571056,PRUNED,0:00:00.080033,0.0015609696165058255,144,2,2,0.5982240242661824
760,2.0287504377244394,PRUNED,0:00:00.255326,4.8882313986445226e-05,19,2,2,0.6027350057465211
761,2.02637045485999,PRUNED,0:00:00.731859,5.000967606226374e-05,8,2,3,0.6193811601592264
762,2.034543048251759,PRUNED,0:00:00.224449,1.634233713851502e-05,34,2,3,0.5977242875717734
763,1157.167525508187,PRUNED,0:00:00.099108,0.013258803846693118,137,3,3,0.6290690864903355
764,2.029350162193339,PRUNED,0:00:00.501106,0.00011216986768678567,8,2,2,0.6204779264398755
765,2.094118050349656,PRUNED,0:00:00.499776,0.00011995927249510932,8,2,2,1.0146867516278417
766,2.0056633462188063,PRUNED,0:00:01.880098,6.472907104038767e-06,4,2,2,0.5009417213679355
767,2.0338719018300373,PRUNED,0:00:00.278049,8.15981733840228e-05,20,4,2,0.5643152841736847
768,2.013884202639262,PRUNED,0:00:00.618178,7.969897494067449e-06,20,4,2,0.517949668594943
769,2.0966058897684854,PRUNED,0:00:00.261965,3.8468734418263324e-05,18,2,2,1.0885241666349357
770,2.0161525351660594,PRUNED,0:00:00.182640,8.054032913597931e-06,73,2,2,0.5007969043835514
771,2.034909357627233,PRUNED,0:00:00.083570,7.492985293527413e-05,128,2,2,0.5013849243784867
772,3.538915279932553e-06,COMPLETE,0:00:29.706174,7.289053544359405e-05,4,3,2,0.5804995674315184
773,2.0300241605988862,PRUNED,0:00:00.193296,9.22285855024595e-05,26,2,2,0.5723195540119208
774,2.0872489454284793,PRUNED,0:00:00.934655,0.00017011865410488942,4,2,2,1.0448719899097294
775,2.0913274215615316,PRUNED,0:00:00.344485,3.19635221283436e-05,13,2,2,1.0458440089055154
776,2.03617726823558,PRUNED,0:00:00.356604,7.063132855109121e-05,13,3,2,0.6638923895873394
777,2.0469907112419605,PRUNED,0:00:00.134075,7.295855918779469e-05,47,3,2,0.5904691013536987
778,2.036434295329642,PRUNED,0:00:00.185856,4.230885217732508e-06,32,4,2,0.5842986219995251
779,2.052626831190927,PRUNED,0:00:00.098074,4.824314180720498e-05,237,4,3,0.5447243421358672
780,2.0314950311885163,PRUNED,0:00:00.231183,5.60524906111983e-05,22,2,2,0.6281716816038361
781,2.037962511869577,PRUNED,0:00:00.216973,1.141094767875595e-05,23,2,2,0.6294231880760226
782,678.5044910907745,PRUNED,0:00:00.071759,0.009553425511495657,202,1,2,0.5624499006289359
783,2.005747678604993,PRUNED,0:00:00.533148,4.1516413880706766e-05,17,2,2,0.5622849262698238
784,2.0190975114863408,PRUNED,0:00:00.768751,2.7135000727309862e-06,16,2,3,0.5289560218074524
785,2.1855442921320596,PRUNED,0:00:00.072629,9.055075439693562e-05,254,2,3,0.7537290715677468
786,2.0366069293231703e-06,COMPLETE,0:00:09.454975,0.00013529180451964183,13,2,2,0.5283391470132573
787,2.1568054812295094,PRUNED,0:00:00.064178,0.0001324233946120918,215,2,2,0.610238160312802
788,2.2116561003269686,PRUNED,0:00:00.355010,0.00023937076963511446,12,2,2,1.1601763150353368
789,2.04109493127236,PRUNED,0:00:00.180906,5.7084527974571605e-05,29,2,2,0.6513465335774925
790,2.0410272506150333,PRUNED,0:00:00.272159,9.090776057058203e-05,17,2,2,0.6754499720902917
791,2.065224530876324,PRUNED,0:00:00.483915,7.093658346129542e-05,8,1,2,0.9314729707748344
792,2.02964015517916,PRUNED,0:00:00.083815,4.116027178359433e-05,112,2,2,0.5348970401900552
